# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# Fri Apr 19 11:53:27 2019
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Data,Summary,ASCII
0,,0,0:00.000.000,,,,,,Capture started (Aggregate),,[Thu Apr 18 18:05:42 2019],
0,HS,3637,0:13.631.321,101.350 us,361 B,,03,05,IN txn   [4 POLL],00 00 00 06 00 00 01 69 FA CE FA CE 00 09 00 0C F2 7E 03 00 00 00 01 32 00 00 02 C9 50 10 02 00 00 00 00 00 3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 20 65 6E 63 6F 64 69 6E 67 3D 22 55 54 46 2D 38 22 3F 3E 0A 3C 21 44 4F 43 54 59 50 45 20 70 6C 69 73 74 20 50 55 42 4C 49 43 20 22 2D 2F 2F 41 70 70 6C 65 2F 2F 44 54 44 20 50 4C 49 53 54 20 31 2E 30 2F 2F 45 4E 22 20 22 68 74 74 70 3A 2F 2F 77 77 77 2E 61 70 70 6C 65 2E 63 6F 6D 2F 44 54 44 73 2F 50 72 6F 70 65 72 74 79 4C 69 73 74 2D 31 2E 30 2E 64 74 64 22 3E 0A 3C 70 6C 69 73 74 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3E 0A 3C 64 69 63 74 3E 0A 09 3C 6B 65 79 3E 4B 65 79 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 50 72 6F 64 75 63 74 56 65 72 73 69 6F 6E 3C 2F 73 74 72 69 6E 67 3E 0A 09 3C 6B 65 79 3E 52 65 71 75 65 73 74 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 47 65 74 56 61 6C 75 65 3C 2F 73 74 72 69 6E 67 3E 0A 09 3C 6B 65 79 3E 56 61 6C 75 65 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 31 32 2E 32 3C 2F 73 74 72 69 6E 67 3E 0A 3C 2F 64 69 63 74 3E 0A 3C 2F 70 6C 69 73 74 3E 0A,,.......i.........~.....2....P.......<?xml version…
0,HS,3661,0:13.631.433,964.866 us,36 B,,03,05,IN txn   [43 POLL],00 00 00 06 00 00 00 24 FA CE FA CE 00 0A 00 10 F2 7E 04 00 00 00 00 00 00 00 00 01 50 12 02 00 11 F8 80 E8,,.......$.........~..........P.......
0,HS,3672,0:13.632.415,1.106.633 ms,40 B,,03,05,IN txn   [51 POLL],00 00 00 06 00 00 00 28 FA CE FA CE 00 0B 00 11 F2 7E 04 00 00 00 00 01 00 00 01 4D 50 10 02 00 00 00 00 00 00 00 01 29,,.......(.........~.........MP..........)
0,HS,3678,0:13.633.540,70.366 us,333 B,,03,05,IN txn   [4 POLL],00 00 00 06 00 00 01 4D FA CE FA CE 00 0C 00 11 F2 7E 04 00 00 00 00 05 00 00 01 4D 50 10 02 00 00 00 00 00 3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 20 65 6E 63 6F 64 69 6E 67 3D 22 55 54 46 2D 38 22 3F 3E 0A 3C 21 44 4F 43 54 59 50 45 20 70 6C 69 73 74 20 50 55 42 4C 49 43 20 22 2D 2F 2F 41 70 70 6C 65 2F 2F 44 54 44 20 50 4C 49 53 54 20 31 2E 30 2F 2F 45 4E 22 20 22 68 74 74 70 3A 2F 2F 77 77 77 2E 61 70 70 6C 65 2E 63 6F 6D 2F 44 54 44 73 2F 50 72 6F 70 65 72 74 79 4C 69 73 74 2D 31 2E 30 2E 64 74 64 22 3E 0A 3C 70 6C 69 73 74 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3E 0A 3C 64 69 63 74 3E 0A 09 3C 6B 65 79 3E 52 65 71 75 65 73 74 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 51 75 65 72 79 54 79 70 65 3C 2F 73 74 72 69 6E 67 3E 0A 09 3C 6B 65 79 3E 54 79 70 65 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 63 6F 6D 2E 61 70 70 6C 65 2E 6D 6F 62 69 6C 65 2E 6C 6F 63 6B 64 6F 77 6E 3C 2F 73 74 72 69 6E 67 3E 0A 3C 2F 64 69 63 74 3E 0A 3C 2F 70 6C 69 73 74 3E 0A,,.......M.........~.........MP.......<?xml version…
0,HS,3698,0:13.633.617,1.092.783 ms,40 B,,03,05,IN txn   [49 POLL],00 00 00 06 00 00 00 28 FA CE FA CE 00 0D 00 14 F2 7E 04 00 00 00 01 2E 00 00 02 C6 50 10 02 00 00 00 00 00 00 00 01 47,,.......(.........~..........P..........G
0,HS,3704,0:13.634.717,80.583 us,363 B,,03,05,IN txn   [4 POLL],00 00 00 06 00 00 01 6B FA CE FA CE 00 0E 00 14 F2 7E 04 00 00 00 01 32 00 00 02 C6 50 10 02 00 00 00 00 00 3C 3F 78 6D 6C 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 20 65 6E 63 6F 64 69 6E 67 3D 22 55 54 46 2D 38 22 3F 3E 0A 3C 21 44 4F 43 54 59 50 45 20 70 6C 69 73 74 20 50 55 42 4C 49 43 20 22 2D 2F 2F 41 70 70 6C 65 2F 2F 44 54 44 20 50 4C 49 53 54 20 31 2E 30 2F 2F 45 4E 22 20 22 68 74 74 70 3A 2F 2F 77 77 77 2E 61 70 70 6C 65 2E 63 6F 6D 2F 44 54 44 73 2F 50 72 6F 70 65 72 74 79 4C 69 73 74 2D 31 2E 30 2E 64 74 64 22 3E 0A 3C 70 6C 69 73 74 20 76 65 72 73 69 6F 6E 3D 22 31 2E 30 22 3E 0A 3C 64 69 63 74 3E 0A 09 3C 6B 65 79 3E 4B 65 79 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 50 72 6F 64 75 63 74 4E 61 6D 65 3C 2F 73 74 72 69 6E 67 3E 0A 09 3C 6B 65 79 3E 52 65 71 75 65 73 74 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 47 65 74 56 61 6C 75 65 3C 2F 73 74 72 69 6E 67 3E 0A 09 3C 6B 65 79 3E 56 61 6C 75 65 3C 2F 6B 65 79 3E 0A 09 3C 73 74 72 69 6E 67 3E 69 50 68 6F 6E 65 20 4F 53 3C 2F 73 74 72 69 6E 67 3E 0A 3C 2F 64 69 63 74 3E 0A 3C 2F 70 6C 69 73 74 3E 0A,,.......k.........~.....2....P.......<?xml version…
0,HS,3728,0:13.634.801,34.859.850 ms,512 B,,03,05,IN txn   [1604 POLL],00 00 00 06 00 00 05 06 FA CE FA CE 00 0F 00 18 F2 7E 02 00 00 00 02 94 00 00 04 72 50 10 02 00 00 00 00 00 16 03 03 00 51 02 00 00 4D 03 03 5C B9 1E F4 23 E2 EC 18 B8 CE 38 3B 96 0C 93 2D F2 4B 71 F9 94 81 BE 22 3A 7D 16 BD 5C A0 C3 DA 20 13 A7 73 1A 85 AF 22 8A 67 BF 69 B3 F4 6F 98 45 81 9A DC AC 11 33 E2 F9 C5 6A 9D 01 DB B4 5F 21 C0 30 00 00 05 FF 01 00 01 00 16 03 03 02 C8 0B 00 02 C4 00 02 C1 00 02 BE 30 82 02 BA 30 82 01 A2 A0 03 02 01 02 02 01 00 30 0D 06 09 2A 86 48 86 F7 0D 01 01 05 05 00 30 00 30 1E 17 0D 31 39 30 34 30 32 30 30 30 38 35 34 5A 17 0D 32 39 30 33 33 30 30 30 30 38 35 34 5A 30 00 30 82 01 22 30 0D 06 09 2A 86 48 86 F7 0D 01 01 01 05 00 03 82 01 0F 00 30 82 01 0A 02 82 01 01 00 F2 D2 43 F1 F8 4A A7 B3 6A 0C 50 09 69 2B 00 0E 99 32 A4 EA 16 24 39 02 1F 70 DB 92 B5 0E F1 73 B8 A0 66 0A E5 F3 29 DF 1E 10 FE D9 8F A1 24 81 FC 43 5A F3 31 22 47 EE B7 3D DE B3 F1 4F E7 FC 07 21 91 FD BC B0 D7 77 D8 EB 60 DC 6E 96 58 86 49 D7 4D 82 F8 AE BD 18 72 BE 3C B2 DA 11 09 FE 54 92 BE 9C 2A 58 A0 C8 36 89 42 9A 77 C9 7F F6 5B 20 ED F3 77 B5 3C 98 D6 C7 CD B6 91 4F F2 BF 6E A9 F6 A7 14 BD C9 BE 9A 85 22 40 8A 9A 7F 38 1F 12 F9 80 DE 5B 70 7B 3B AE AD 15 17 33 88 F6 E2 DD B4 D7 24 65 C3 ED FD F9 63 2F E0 3E ED 7F 1F 8A 20 E8 EC EA 8E 4A B0 15 AA 7B 68 FC 4D 72 81 24 CE E9 F7 B1 3C 7C 3E A1 63 1B E1 8B 6A E4 4D 37 EC 66 36 53 B6 65 54 DB FF 8F 85 83 EE 7E D4 E8 E0 08 D8 B1 76 82 1E 6A 31 28 19 08 3E 09 A7 22 6D 97 FD 41 F4 2A 58 F0 81 64 6E 1A 7B 3F 02 03 01 00 01 A3 3F 30 3D 30 0C 06 03 55 1D 13 01 01 FF,,.................~.........rP...........Q...M..\.…
0,HS,3734,0:13.669.670,9.450 us,512 B,,03,05,IN txn,04 02 30 00 30 1D 06 03 55 1D 0E 04 16 04 14 0C EB 14 E6 83 D5 C2 1D 6B 40 C2 16 FB BB 56 5F FA 0B 5D 0B 30 0E 06 03 55 1D 0F 01 01 FF 04 04 03 02 05 A0 30 0D 06 09 2A 86 48 86 F7 0D 01 01 05 05 00 03 82 01 01 00 97 30 C8 98 03 1E 48 B2 4D 3D C2 73 DA F1 6D 71 86 BC 6B 81 A6 3A 50 19 8C DA A9 90 DF 12 3C 8D 33 27 25 F7 DC C2 5B AE CE 7F C5 28 8E 9E B1 10 BF D4 94 5D EC EB 51 FF FC 67 34 5B B0 07 57 58 57 A2 34 DE 74 CE F6 29 D5 9F D1 E4 D0 67 42 A3 04 F6 61 78 2F 78 05 B7 92 F3 54 E7 6A DF 0C 9D A6 F5 B9 FA 5F 19 C6 BF E4 89 E1 77 28 A4 47 40 82 39 A9 C5 35 F0 A6 3F 10 02 A9 EC 33 DC 49 BC 7C 79 83 3A 7F 6B E4 53 6D 9E C6 2E 19 68 5D B1 B6 D0 59 70 BF 53 50 6A 34 E6 E0 6B 8D DA CC 66 17 66 4E 55 57 53 45 77 29 03 49 A9 88 35 F2 F3 73 72 83 CF CD 8D FE D4 6E 23 00 CF 65 F0 8C 85 26 B5 6F F8 CB A8 A0 F7 D9 FC 60 12 C9 28 15 E2 95 13 D7 92 83 40 36 FF 1D 71 30 38 9A 0C 13 00 22 E7 97 5E ED 83 7A EC 74 40 70 7D 3A AF 17 F6 5B 6A E6 B8 21 7D C1 36 7B 3F 89 98 09 29 6E 45 16 03 03 01 91 0C 00 01 8D 03 00 19 85 04 01 C2 2B 7B 06 18 9D F3 6B 13 23 C0 D7 79 C9 24 7B 10 CD B5 9E BD C8 84 64 E5 73 E9 FB 0C CC F1 31 E3 F2 5C A7 E3 43 56 02 98 07 38 E0 46 F8 25 3A 2A CA 76 FD BE D3 B5 28 47 9F EF A9 D1 67 01 E6 DC 01 0C 47 56 25 C8 97 71 84 41 9F F2 60 02 17 FE 3A E3 0F 2E A6 E3 BC 04 C0 A8 39 19 AF 57 53 75 13 F0 6E 5F E7 62 D7 EF 70 B6 D5 72 A8 28 3F 2C 69 38 29 EC 93 18 64 8E 10 7D F5 0A 14 BD 5A D3 5F 36 04 01 01 00 09 D3 B1 7D 1F C0 93 FC 4A 2B 6C DE E8 44 21 C4 A2 86 97 5B 3A 7D D6 18 79 EC 35 9E 3D 2D F0 6A 87 AF 36,,..0.0...U..............k@....V_..].0...U.........…
0,HS,3738,0:13.669.680,5.250 us,262 B,,03,05,IN txn,94 07 CA F9 76 F2 8D 0D 1B B4 F0 D5 9C ED 8A 7C DD 3B EA B1 C8 51 A3 EC E7 86 DC EB 6E 44 0A E9 C9 20 69 2C C1 07 A3 BE EB 10 83 7B FA 71 DE C3 E6 7A 96 54 4D E8 2F B0 E2 DA F0 3A 99 6D C0 AE E8 61 17 3E 1C A7 A6 F7 05 CA C5 D6 8B 8A 53 49 02 2B 99 0C A7 61 E3 22 60 E9 C1 B4 78 C2 0A B0 69 24 00 3E 42 26 B9 CC F9 D1 97 84 D1 4D F7 E5 7A BE 2B 08 49 6C 11 88 CD EE F3 5B 03 D6 64 DF 92 DE B6 00 1A 3B 50 02 F0 71 99 E1 A2 4B 72 CC B7 C2 40 2B 89 B9 FF D4 B3 D3 D2 85 5F AA B1 CF 7A 45 C5 23 93 84 1A F1 BB A7 77 64 98 8B B0 2D CA 39 6B 09 C2 B7 71 51 02 90 09 52 96 4A BA 0B 18 83 85 9E E0 72 34 FB 67 82 28 78 18 09 FA 48 36 FE 04 60 65 67 A5 8C 97 C0 EB AD D0 16 03 03 00 1B 0D 00 00 17 02 01 40 00 10 04 01 02 01 05 01 06 01 04 03 02 03 05 03 06 03 00 00 16 03 03 00 04 0E 00 00 00,,....v..........|.;...Q......nD... i,.......{.q...…
0,HS,3761,0:13.669.689,85.095.350 ms,87 B,,03,05,IN txn   [3916 POLL],00 00 00 06 00 00 00 57 FA CE FA CE 00 10 00 1A F2 7E 02 00 00 00 07 76 00 00 09 0E 50 10 02 00 00 00 00 00 14 03 03 00 01 01 16 03 03 00 28 77 07 69 3D 9E 40 F5 0F 6B 05 32 6D E6 3B B0 21 3C A5 13 A8 34 67 68 C1 70 95 55 29 97 30 1D 35 BB 49 FA 99 E9 F1 20 01,,.......W.........~.....v....P.................(w.…
